api_path,target_owner,namespace,build263_review,notes
functions/api/_lib/accounting-gl.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/accounting.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/analytics-rollups.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/app-settings.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/booking-documents.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/booking-location.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/catalog-movements.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/catalog-readiness.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/creative-projects.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/crew-assignments.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/customer-admin.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/customer-auth-tokens.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/customer-session.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/daip-gate-c-review.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/daip-governance.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/daip-intake-dry-run.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/daip-media.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/daip-phase1-readiness.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/daip-private-mvp-design.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/daip-test-mode.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/editable-settings.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/final-balance-links.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/gift-delivery.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/http.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/integration-registry.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/inventory-posting.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/job-live-feed.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/launch-readiness-evidence.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/live-interaction-alerts.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/membership-reminders.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/notification-hooks.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/payroll.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/photo-library.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/pricing-catalog.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/production-test-playbook.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/proof-of-work.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/provider-dispatch.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/public-website-images.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/quote-deposit-payments.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/quote-payment-events.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
functions/api/_lib/roadmap-execution.js,platform_core,_lib,inventory_only,Ownership hint only; server authorization remains endpoint-specific.
